Product Name,SKU,Description,Price,Currency,Stock,Category,Image URL,Attributes
Galaxy Tab S9 Ultra,SAMS-TABS9U-512-GRAY,Найбільший планшет Galaxy з 14.6-дюймовим Dynamic AMOLED екраном,52999,UAH,10,Tablets,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0,"{""brand"":""Samsung"",""color"":[""Graphite"",""Beige""],""warranty"":24,""condition"":""New"",""screen-size"":14.6,""ram"":""12GB"",""storage"":""512GB"",""processor"":""Snapdragon 8 Gen 2"",""display-type"":""AMOLED"",""os"":""Android 13"",""weight"":0.73}"
Galaxy Tab S9+,SAMS-TABS9P-256-BEIGE,Преміум планшет з S Pen та водозахистом IP68,39999,UAH,18,Tablets,https://images.unsplash.com/photo-1561154464-82e9adf32764,"{""brand"":""Samsung"",""color"":[""Beige"",""Graphite""],""warranty"":24,""condition"":""New"",""screen-size"":12.4,""ram"":""12GB"",""storage"":""256GB"",""processor"":""Snapdragon 8 Gen 2"",""display-type"":""AMOLED"",""os"":""Android 13"",""weight"":0.58}"
Galaxy Tab S9,SAMS-TABS9-128-GRAY,Компактний преміум планшет,32999,UAH,22,Tablets,https://images.unsplash.com/photo-1561154464-82e9adf32764,"{""brand"":""Samsung"",""color"":[""Graphite"",""Beige""],""warranty"":24,""condition"":""New"",""screen-size"":11.0,""ram"":""8GB"",""storage"":""128GB"",""processor"":""Snapdragon 8 Gen 2"",""display-type"":""AMOLED"",""os"":""Android 13"",""weight"":0.5}"
Galaxy Tab S9 FE+,SAMS-TABS9FEP-128,Доступний планшет з S Pen у комплекті,22999,UAH,25,Tablets,https://images.unsplash.com/photo-1561154464-82e9adf32764,"{""brand"":""Samsung"",""color"":[""Gray"",""Mint"",""Lavender""],""warranty"":24,""condition"":""New"",""screen-size"":12.4,""ram"":""8GB"",""storage"":""128GB"",""processor"":""Exynos 1380"",""display-type"":""IPS"",""os"":""Android 13"",""weight"":0.63}"
Galaxy Watch 6 Classic,SAMS-GW6C-47-BLK,Класичний розумний годинник з обертовим безелем,14999,UAH,25,Wearables,https://images.unsplash.com/photo-1579586337278-3befd40fd17a,"{""brand"":""Samsung"",""color"":[""Black"",""Silver""],""warranty"":12,""condition"":""New"",""screen-size"":1.47,""battery"":425,""connection"":""Bluetooth"",""os"":""Wear OS 4""}"
Galaxy Watch 6,SAMS-GW6-44-GOLD,Сучасний розумний годинник з великим дисплеєм,12999,UAH,30,Wearables,https://images.unsplash.com/photo-1579586337278-3befd40fd17a,"{""brand"":""Samsung"",""color"":[""Gold"",""Graphite"",""Silver""],""warranty"":12,""condition"":""New"",""screen-size"":1.47,""battery"":425,""connection"":""Bluetooth"",""os"":""Wear OS 4""}"
Galaxy Watch FE,SAMS-GWFE-40-PINK,Доступний розумний годинник з основними функціями,8999,UAH,35,Wearables,https://images.unsplash.com/photo-1579586337278-3befd40fd17a,"{""brand"":""Samsung"",""color"":[""Pink Gold"",""Graphite"",""Silver""],""warranty"":12,""condition"":""New"",""screen-size"":1.2,""battery"":247,""connection"":""Bluetooth"",""os"":""Wear OS 4""}"
Galaxy Buds2 Pro,SAMS-GB2PRO-GRAPH,Бездротові навушники з інтелектуальним ANC,7999,UAH,40,Accessories,https://images.unsplash.com/photo-1590658268037-6bf12165a8df,"{""brand"":""Samsung"",""color"":[""Graphite"",""White"",""Bora Purple""],""warranty"":12,""condition"":""New"",""connection"":""Bluetooth"",""noise-cancellation"":true,""microphone"":true,""battery"":5}"
Galaxy Buds FE,SAMS-GBFE-WHITE,Доступні навушники з якісним звуком,4499,UAH,50,Accessories,https://images.unsplash.com/photo-1590658268037-6bf12165a8df,"{""brand"":""Samsung"",""color"":[""White"",""Graphite""],""warranty"":12,""condition"":""New"",""connection"":""Bluetooth"",""noise-cancellation"":true,""microphone"":true,""battery"":5}"
Samsung T7 Shield 2TB,SAMS-T7S-2TB-BLU,Портативний SSD з захистом IP65. Швидкість до 1050 MB/s,4999,UAH,35,Accessories,https://images.unsplash.com/photo-1597872200969-2b65d56bd16b,"{""brand"":""Samsung"",""color"":[""Blue"",""Black"",""Beige""],""warranty"":36,""condition"":""New"",""storage"":""2TB"",""connection"":""USB-C""}"
Samsung T7 Shield 1TB,SAMS-T7S-1TB-BLK,Портативний SSD з захистом IP65,2999,UAH,45,Accessories,https://images.unsplash.com/photo-1597872200969-2b65d56bd16b,"{""brand"":""Samsung"",""color"":[""Black"",""Blue"",""Beige""],""warranty"":36,""condition"":""New"",""storage"":""1TB"",""connection"":""USB-C""}"
Portable SSD T9 1TB,SAMS-T9-1TB-BLK,Надшвидкий портативний SSD. До 2000 MB/s,6499,UAH,25,Accessories,https://images.unsplash.com/photo-1531492746076-161ca9bcad58,"{""brand"":""Samsung"",""color"":[""Black""],""warranty"":36,""condition"":""New"",""storage"":""1TB"",""connection"":""USB-C""}"
ViewFinity S9 5K,SAMS-VS9-27-5K,27-дюймовий 5K монітор для професіоналів. Thunderbolt 4,48999,UAH,8,Monitors,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf,"{""brand"":""Samsung"",""color"":[""Silver""],""warranty"":36,""condition"":""New"",""screen-size"":27.0,""display-type"":""IPS"",""connection"":""USB-C""}"
Odyssey G9 49",SAMS-OG9-49-QLED,Ігровий монітор ultrawide з частотою 240Hz та G-Sync,64999,UAH,5,Monitors,https://images.unsplash.com/photo-1593640495253-23196b27a87f,"{""brand"":""Samsung"",""color"":[""White""],""warranty"":36,""condition"":""New"",""screen-size"":49.0,""display-type"":""QLED"",""connection"":""HDMI""}"
Odyssey G7 32",SAMS-OG7-32-QLED,Вигнутий ігровий монітор 240Hz,28999,UAH,12,Monitors,https://images.unsplash.com/photo-1593640495253-23196b27a87f,"{""brand"":""Samsung"",""color"":[""Black""],""warranty"":36,""condition"":""New"",""screen-size"":32.0,""display-type"":""QLED"",""connection"":""HDMI""}"
SmartThings Station,SAMS-STS-WHT,Hub для розумного дому з підтримкою Matter та Thread,3499,UAH,30,Smart Home,https://images.unsplash.com/photo-1558002038-1055907df827,"{""brand"":""Samsung"",""color"":[""White""],""warranty"":12,""condition"":""New"",""connection"":""WiFi""}"
